Date,Day,High Temp (°F),Low Temp (°F),Precipitation,Brooklyn Bridge,Manhattan Bridge,Williamsburg Bridge,Queensboro Bridge,Total
4/11,Tuesday,80.1,62.1,0,3887,7247,8079,5501,24714
4/12,Wednesday,73.9,57.9,0.02,2565,5633,6620,4537,19355
4/13,Thursday,64,48.9,0,3353,6052,6775,4700,20880
4/14,Friday,64.9,48.9,0,2942,5054,5877,4142,18015
4/15,Saturday,64.9,52,0,2253,3853,4965,3291,14362
4/18,Tuesday,66,50,0,3415,6691,7341,5012,22459
4/20,Thursday,64.9,50,0.17,1567,3365,4302,3056,12290
4/21,Friday,53.1,48,0.29,1426,3142,3674,2672,10914
4/22,Saturday,55.9,52,0.11,1318,2297,2963,2366,8944
4/23,Sunday,64.9,46.9,0,2520,4681,5105,3434,15740
4/25,Tuesday,54,50,0.91,611,1402,1902,1578,5493
4/26,Wednesday,59,54,0.34,1247,2774,3429,2369,9819
4/27,Thursday,68,59,0,2959,5311,6026,4285,18581
4/28,Friday,82.9,57.9,0,3679,6774,7196,5138,22787
4/29,Saturday,84,64,0.06,3315,5605,6045,4078,19043
4/30,Sunday,64,54,0,2225,4057,4513,3137,13932
